"id","word","rule_id","irregular","created_at","updated_at"
"1","politie","9","0",NULL,NULL
"2","vee","9","0",NULL,NULL
"3","hersens","10","0",NULL,NULL
"4","hersenen","10","0",NULL,NULL
"5","ingewanden","10","0",NULL,NULL
"6","mazelen","10","0",NULL,NULL
"7","pokken","10","0",NULL,NULL
"8","waterpokken","10","0",NULL,NULL
"9","financiÃ«n","10","0",NULL,NULL
"10","activa","10","0",NULL,NULL
"11","passiva","10","0",NULL,NULL
"12","onkosten","10","0",NULL,NULL
"13","kosten","10","0",NULL,NULL
"14","bescheiden","10","0",NULL,NULL
"15","paperassen","10","0",NULL,NULL
"16","notulen","10","0",NULL,NULL
"17","Roma","10","0",NULL,NULL
"18","Sinti","10","0",NULL,NULL
"19","Inuit","10","0",NULL,NULL
"20","taliban","10","0",NULL,NULL
"21","illuminati","10","0",NULL,NULL
"22","aanstalten","10","0",NULL,NULL
"23","hurken","10","0",NULL,NULL
"24","lurven","10","0",NULL,NULL
"25","luren","10","0",NULL,NULL
"26","letterkunde","9","0",NULL,NULL
"27","muziek","9","0",NULL,NULL
"28","heelal","9","0",NULL,NULL
"29","vastgoed","9","0",NULL,NULL
"30","have","9","0",NULL,NULL
"31","nageslacht","9","0",NULL,NULL
"32","kast","1","0",NULL,NULL
"33","sleutel","2","0",NULL,NULL
"34","betuiging","1","0",NULL,NULL
"35","twitter","11","0",NULL,NULL
